Repo,Path,Has Docker,Docker Files,Web Ports,Has PoC,PoC Categories,PoC Files,Unittest Files,Docker Valid,Docker Message,Summary
PocList,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PocList,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PocList/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PocList/锐捷EG易网关账号密码泄露/Ruijie-EG_passLeaked.py,,No,,POC脚本指定url文件后，可多线程批量扫描目标进行验证；EXP脚本可对漏洞进行利用，如文件读取、上传木马、命令执行等。
daydayExp-pocs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/daydayExp-pocs,No,,,Yes,Header Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/daydayExp-pocs/fanruan/帆软OA_V10channel反序列化.json; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/daydayExp-pocs/fanruan/帆软系统ReportServerSQL注入.json,,No,,No README found
k8s_PaaS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/k8s_PaaS,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/k8s_PaaS/assets/1583077468832.png; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/k8s_PaaS/assets/1584067619179.png,,No,,[![image](https://img.shields.io/badge/google-kubernetes-blue.svg)](https://kubernetes.io/) [![image](https://img.shields.io/badge/ctripcorp-apollo-gr
pocGoby2Xray,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pocGoby2Xray,No,,,Yes,Header Injection; RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pocGoby2Xray/main.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pocGoby2Xray/README.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pocGoby2Xray/gobypoc/Seeyon_OA_A6_test.jsp_SQL_injection.json; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pocGoby2Xray/xraypoc/Seeyon_OA_A6_test.jsp_SQL_injection.yml,No,,将Goby的json格式Poc转为xray的yaml格式Poc。
Web-Attack-Cheat-Sheet,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Web-Attack-Cheat-Sheet,No,,,Yes,Deserialization; Header Injection; LFI/RFI; SQL Injection; SSRF; XSS; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Web-Attack-Cheat-Sheet/README.md,,No,,- [Discovering](#discovering)
Sharperner,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sharperner,No,,,Yes,Command Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Sharperner/Sharperner/obj/Debug/ObfuscatorXOR.exe,,No,,**Sharperner** is a tool written in CSharp that generate .NET dropper with AES and XOR obfuscated shellcode. Generated executable can possibly bypass 
Newbie-Security-List,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Newbie-Security-List,No,,,Yes,SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Newbie-Security-List/Newbie-Security-List(v0.1).md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Newbie-Security-List/安全方法论.md,,No,,> 一桌菜，十几盘，有荤有素，有凉有热，怎么吃呢？你可以找一盘看起来好吃的，也可以找一盘离自己近的，都行。但是，得动筷子。不管怎么吃，最重要的是得动筷子。学技术也是一样。
AoiAWD,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AoiAWD,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AoiAWD/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AoiAWD/Dockerfile,,Yes,SQL Injection; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AoiAWD/Guardian/src/main.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AoiAWD/Frontend/src/routes.js,,No,docker-compose not found,AoiAWD 是一个由Aodzip（安恒信息 海特实验室研究员、HAC战队成员）维护的一个针对于CTF AWD模式的开源项目。专为比赛设计，便携性好，低权限运行的EDR系统。任何人都可以在 GNU AGPL-3.0 许可下使用该项目和分享该项目的源码。
mastra,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/mastra,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/mastra/stores/mongodb/docker-compose.yaml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/mastra/stores/elasticsearch/docker-compose.yaml,"80, 8000, 9000",Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/mastra/client-sdks/ai-sdk/src/transformers.ts; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/mastra/explorations/mcp-registry-client/README.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/mastra/deployers/cloud/TEST_DOCUMENTATION.md,No,docker-compose not found,[![npm version](https://badge.fury.io/js/@mastra%2Fcore.svg)](https://www.npmjs.com/package/@mastra/core)
random-robbie_bruteforce-lists,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/random-robbie_bruteforce-lists,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/random-robbie_bruteforce-lists/config.txt,,No,,Some files for bruteforcing certain things.
CVE-2020-9484-Mass-Scan,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-9484-Mass-Scan,No,,,Yes,Deserialization; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-9484-Mass-Scan/README.md,,No,,"CVE-2020-9484 Mass Scanner, Scan a list of urls against Apache Tomcat deserialization (CVE-2020-9484) which could lead to RCE, determine possible vuln"
eventlistener-xss-recon,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/eventlistener-xss-recon,No,,,Yes,RCE; XSS; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/eventlistener-xss-recon/README.md,,No,,"I suggest reading writeups on eventlistener XSS before getting into this, since im skipping the technical parts to focus on methodology."
targetedKerberoast,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/targetedKerberoast,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/targetedKerberoast/README.md,,No,,"targetedKerberoast is a Python script that can, like many others (e.g. [GetUserSPNs.py](https://github.com/SecureAuthCorp/impacket/blob/master/example"
ReDoSHunter,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReDoSHunter,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReDoSHunter/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReDoSHunter/perl/index.pl,,No,,ReDoSHunter is a combined static and dynamic approach for regular expression DoS detection.
Hacking-Busybox-Control,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Hacking-Busybox-Control,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Hacking-Busybox-Control/routers_userpass.txt,,No,,modules/post/linux/gather/busybox_enum_connections.rb
awesome-oneliner-bugbounty,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/awesome-oneliner-bugbounty,No,,,Yes,LFI/RFI; RCE; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/awesome-oneliner-bugbounty/README.md,,No,,> A collection of awesome one-liner scripts especially for bug bounty.
BurpSuiteHTTPSmuggler,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/BurpSuiteHTTPSmuggler,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/BurpSuiteHTTPSmuggler/src/burp/IIntruderAttack.java; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/BurpSuiteHTTPSmuggler/src/burp/IIntruderPayloadGenerator.java,,No,,A Burp Suite extension to help pentesters to bypass WAFs or test their effectiveness using a number of techniques.
metasploit-autopwn,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/metasploit-autopwn,No,,,Yes,RCE; RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/metasploit-autopwn/db_autopwn.rb; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/metasploit-autopwn/README.md,,No,,metasploit plugin for easy exploit & vulnerability attack.<br>
XLsn0w_Cydiapps,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/XLsn0w_Cydiapps,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/XLsn0w_Cydiapps/iOS Jailbreak 相关文档/iOS6_Exploitation_and_iOS7_Changes.pdf; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/XLsn0w_Cydiapps/iOS Jailbreak 相关文档/iOS6_Kernel_Exploit.pdf,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/XLsn0w_Cydiapps/iSH/tests/e2e/hello/test_python3.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/XLsn0w_Cydiapps/iSH/tests/e2e/hello/test_c.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/XLsn0w_Cydiapps/iSH/tests/e2e/hello/test_python2.py,No,,[巨魔二代 iOS15.0-16.6.1 新手指南](https://mp.weixin.qq.com/s?__biz=Mzg5OTgzNTgxNQ==&mid=2247501758&idx=1&sn=2320b045097cbbacc74352b84e4b6f30&chksm=c04fb576f7
AIO-Pentesting,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AIO-Pentesting,No,,,Yes,RCE; RCE; SQL Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AIO-Pentesting/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AIO-Pentesting/OSCP-Notes/SMB.md,,No,,> All in one Pentest methodologies - **Tools and commands**
SNIcat,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SNIcat,No,,,Yes,Command Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SNIcat/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SNIcat/images/snicat-logo.png,,No,,"<img align=""right"" src=""/images/snicat-logo.png"" alt=""SNIcat"" width=""175x"" height=""200"">"
deepchat,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/deepchat,No,,,Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/deepchat/src/renderer/src/components/artifacts/MermaidArtifact.vue; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/deepchat/src/shared/regexValidator.ts,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/deepchat/resources/skills/pdf/scripts/check_bounding_boxes_test.py,No,,"<img src='./build/icon.png' width=""150"" height=""150"" alt=""DeepChat AI Assistant Icon"" />"
TEN-framework_TEN-Agent,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/third_party/mbedtls/tests/docker/bionic/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/tools/docker_for_building/ubuntu/22.04/docker-compose.yml,"9000, 8000, 3000, 8080",Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/third_party/ffmpeg/libavfilter/adynamicequalizer_template.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/third_party/ffmpeg/libavfilter/af_loudnorm.c,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/build/ten_runtime/feature/prepare_integration_test_resources.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/core/src/ten_runtime/test/test_app.c; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/TEN-framework_TEN-Agent/core/src/ten_runtime/test/test_extension.c,No,docker-compose not found,![Image][ten-framework-banner]
OrangeHacking-CyberSecurity_kali-build-config,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/OrangeHacking-CyberSecurity_kali-build-config,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/OrangeHacking-CyberSecurity_kali-build-config/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/OrangeHacking-CyberSecurity_kali-build-config/kali-config/variant-gnome/package-lists/kali.list.chroot,,No,,基于Gnome桌面定制kali Linux
scared,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/scared,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/scared/CHANGELOG.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/scared/scared/des/selection_functions/encrypt.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/scared/pytest.ini; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/scared/scared/ttest.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/scared/scared/scalib/ttest.py,No,,[![pipeline status](https://gitlab.com/eshard/scared/badges/master/pipeline.svg)](https://gitlab.com/eshard/scared/commits/master)
xinliangnote_go-gin-api,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xinliangnote_go-gin-api,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xinliangnote_go-gin-api/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xinliangnote_go-gin-api/pkg/errors/err_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xinliangnote_go-gin-api/pkg/signature/signature_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xinliangnote_go-gin-api/pkg/ddm/type_test.go,Yes,Has Dockerfile (untested),`go-gin-api` 是基于 [Gin](https://github.com/gin-gonic/gin) 进行模块化设计的 API 框架，封装了常用的功能，使用简单，致力于进行快速的业务研发，同时增加了更多限制，约束项目组开发成员，规避混乱无序及自由随意的编码。
dracon,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/source/git/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/cmd/enricher/Dockerfile,,Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/pkg/enrichment/issue_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/api/proto/issue.proto,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/pkg/enrichment/issue_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/pkg/kubernetes/apply_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dracon/pkg/template/load_test.go,Yes,Has Dockerfile (untested),> **This project is deprecated.** Users should consider migrating to [Ocurity's fork of Dracon](https://github.com/ocurity/dracon).
astral-sh_uv,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv/Dockerfile,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv/test/requirements/home-assistant.in,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv/crates/uv-requirements-txt/src/snapshots/uv_requirements_txt__test__line-endings-small.txt.snap; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv/crates/uv-requirements-txt/src/snapshots/uv_requirements_txt__test__parse-windows-editable.txt.snap; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/astral-sh_uv/crates/uv-requirements-txt/src/snapshots/uv_requirements_txt__test__line-endings-for-poetry.txt.snap,Yes,Has Dockerfile (untested),[![uv](https://img.shields.io/endpoint?url=https://raw.githubusercontent.com/astral-sh/uv/main/assets/badge/v0.json)](https://github.com/astral-sh/uv)
bugradar,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bugradar,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/bugradar/README.md,,No,,"<a href=""https://github.com/samet-g/bugradar"">"
process_ghosting,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/process_ghosting,No,,,Yes,RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/process_ghosting/README.md,,No,,[![Build status](https://ci.appveyor.com/api/projects/status/2nabj2ukws4ees0w?svg=true)](https://ci.appveyor.com/project/hasherezade/process-ghosting)
xsscrapy,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xsscrapy,No,,,Yes,SQL Injection; XSS; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xsscrapy/xsscrapy/items.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xsscrapy/xsscrapy/pipelines.py,,No,,"Fast, thorough, XSS/SQLi spider. Give it a URL and it'll test every link it finds for cross-site scripting and some SQL injection vulnerabilities. See"
Ap0k4L1p5hub.io,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Ap0k4L1p5hub.io,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Ap0k4L1p5hub.io/eft.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Ap0k4L1p5hub.io/_content/_attachments/Demonstrate Attack and Countermeasure of Mobile Computing.ppt,,No,,Just a website about my journey.
CVE-Flow,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-Flow,No,,,Yes,Command Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-Flow/项目管理.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-Flow/cve_flow.py,,No,,1999-2020存量CVE数据分析、监控CVE增量更新、基于深度学习的CVE EXP预测和自动化推送
easyconn-socks5-for-HITsz,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/easyconn-socks5-for-HITsz,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/easyconn-socks5-for-HITsz/easyconnect/docker-compose.yml,,No,,,,No,docker-compose not found,在服务器上运行easyconnect并建立socks5代理，最终实现win电脑上免安装easyconnect访问校园内网。
ddzipp_AutoAudit,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ddzipp_AutoAudit,No,,,Yes,RCE; RCE; SQL Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ddzipp_AutoAudit/source/VirusSH_dataset.txt; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ddzipp_AutoAudit/scripts/Scripts4sql byLJY.py,,No,,[**🇨🇳中文**](./README_EN.md) | [**🌐English**](./README.md) | [**📖文档/Wiki**](https://github.com/ddzipp/AutoAudit/wiki) | [**❓提问/Issues**](https://github.
raider,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/raider,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/raider/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/raider/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/raider/raider/fuzzing.py,,Yes,Has Dockerfile (untested),- [Website](https://raiderauth.com/).
VainlyStrain_Vailyn,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VainlyStrain_Vailyn,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VainlyStrain_Vailyn/core/docker/Dockerfile,,Yes,Information Disclosure; LFI/RFI; RCE; SQL Injection; Information Disclosure; RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VainlyStrain_Vailyn/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/VainlyStrain_Vailyn/core/Cli.py,,Yes,Has Dockerfile (untested),<img src='core/doc/logo.png' height='580'></img><br>
trickest_cve,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/trickest_cve,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/trickest_cve/blacklist.txt; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/trickest_cve/hot_cves.csv,,No,,"<h3 align=""center"">Almost every publicly available CVE PoC.</h3>"
dust,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/x/henry/dust-hive/docker-compose.yml,9000,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/SECURITY.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/sparkle/src/components/Hover3D.tsx,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/core/examples/video_demo/gsm8k_test.jsonl; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/core/src/stores/migrations/20251107_add_partial_index_data_sources_documents_latest_status.sql; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/dust/core/src/stores/migrations/20221115_spec_index,No,docker-compose not found,Custom AI agent platform to speed up your work.
workflow,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/workflow,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/workflow/docs/en/tutorial-05-http_proxy.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/workflow/src/protocol/KafkaMessage.cc,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/workflow/test/upstream_unittest.cc; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/workflow/test/http_unittest.cc; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/workflow/test/dns_unittest.cc,No,,[![License](https://img.shields.io/badge/License-Apache%202.0-green.svg)](https://github.com/sogou/workflow/blob/master/LICENSE)
QAnything,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything/build_images/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything/qanything_kernel/dependent_server/rerank_server/rerank_async_backend.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything/qanything_kernel/dependent_server/rerank_server/rerank_onnx_backend.py,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything/scripts/test_rerank.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything/scripts/test_embed.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/QAnything/test/test_result.txt,Yes,Has Dockerfile (untested),"<a href=""https://github.com/netease-youdao/QAnything"">"
git-all-secrets,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/git-all-secrets,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/git-all-secrets/Dockerfile,,No,,,,Yes,Has Dockerfile (untested),git-all-secrets is a tool that can:
saasfly,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/saasfly,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/saasfly/SECURITY.md,,No,,"<div align=""center"" width=""100%"">"
All-in-one_BugBounty_PDF_bundles,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/All-in-one_BugBounty_PDF_bundles,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/All-in-one_BugBounty_PDF_bundles/NaHamCon2020/Practical_Attacks_using_HTTP_Request_Smuggling.pdf,,No,,[![Twitter](https://img.shields.io/badge/twitter-@1ndianl33t-blue.svg)](https://twitter.com/1ndianl33t)
DeepFaceLive,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DeepFaceLive,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DeepFaceLive/build/linux/Dockerfile,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DeepFaceLive/xlib/avecl/_internal/op/gaussian_blur.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DeepFaceLive/modelhub/onnx/InsightFaceSwap/inswapper_128.onnx.part3,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/DeepFaceLive/xlib/avecl/_internal/NTest.py,Yes,Has Dockerfile (untested),"<tr><td colspan=2 align=""center"">"
rabobank-cdc_DeTTECT,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rabobank-cdc_DeTTECT,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rabobank-cdc_DeTTECT/Dockerfile,8080,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rabobank-cdc_DeTTECT/attack_taxii_client.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/rabobank-cdc_DeTTECT/constants.py,,Yes,Has Dockerfile (untested),"<img src=""https://github.com/rabobank-cdc/DeTTECT/wiki/images/logo.png#gh-light-mode-only"" alt=""DeTT&CT"" width=30% height=30%>"
hakq,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/hakq,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/hakq/README.md,,No,,A basic golang server/client for distributing shell commands to run over multiple systems.
nscuro_fdnssearch,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nscuro_fdnssearch,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nscuro_fdnssearch/build/docker/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nscuro_fdnssearch/internal/dataset/dataset_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nscuro_fdnssearch/internal/search/search_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nscuro_fdnssearch/internal/interop/amass_test.go,Yes,Has Dockerfile (untested),![Build Status](https://github.com/nscuro/fdnssearch/workflows/Continuous%20Integration/badge.svg?branch=master)
