Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities,Origin URL
you-get,local_repos/you-get,No,,"RCE, SQL Injection","This repository provides lfi/rfi, sql injection, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Header Injection', 'RCE', 'Path Traversal', 'SSRF', 'XSS']",https://github.com/soimort/you-get
Webug4.0-Docker,local_repos/Webug4.0-Docker,Yes,80,RCE,"This repository provides header injection, xss, lfi/rfi proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'SSRF']",https://github.com/Area39/Webug4.0-Docker
RuoYi-Antdv,local_repos/RuoYi-Antdv,No,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'XSS', 'Header Injection', 'RCE']",https://github.com/fuzui/RuoYi-Antdv
portia,local_repos/portia,No,,Privilege Escalation,"This repository provides rce, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/milo2012/portia
ATAttack,local_repos/ATAttack,No,,RCE,"This repository provides rce, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'Path Traversal', 'SQL Injection', 'LFI/RFI']",https://github.com/c1y2m3/ATAttack
ztosec_hunter,local_repos/ztosec_hunter,Yes,,RCE,"This repository provides xss, ssrf, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'SSRF', 'SQL Injection', 'RCE', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']",https://github.com/ztosec/hunter
cckuailong_InformationGather,local_repos/cckuailong_InformationGather,No,,RCE,"This repository provides xss, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SQL Injection', 'RCE', 'Header Injection', 'LFI/RFI', 'Path Traversal']",https://github.com/cckuailong/InformationGather
WatchAD2.0,local_repos/WatchAD2.0,Yes,2181,RCE,"This repository provides rce, lfi/rfi, xss proof-of-concept with Docker deployment on port 2181 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'XSS', 'Header Injection', 'Path Traversal', 'SQL Injection', 'SSRF']",https://github.com/Qihoo360/WatchAD2.0
cosign,local_repos/cosign,Yes,,"RCE, RFI","This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS', 'SSRF']",https://github.com/sigstore/cosign
scrcpy,local_repos/scrcpy,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'XSS', 'Header Injection']",https://github.com/Genymobile/scrcpy
sAINT,local_repos/sAINT,No,,RCE,"This repository provides rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal']",https://github.com/tiagorlampert/sAINT
meta-agent,local_repos/meta-agent,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS', 'Deserialization', 'Header Injection', 'RCE']",https://github.com/DannyMac180/meta-agent
momosecurity_oxpecker,local_repos/momosecurity_oxpecker,No,,LFI/RFI,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/momosecurity/oxpecker
Java-Rce-Echo,local_repos/Java-Rce-Echo,No,,RCE,"This repository provides header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE']",https://github.com/feihong-cs/Java-Rce-Echo
voidcosmos_npkill,local_repos/voidcosmos_npkill,No,,RCE,"This repository provides lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE']",https://github.com/voidcosmos/npkill
ctf,local_repos/ctf,Yes,,RCE,"This repository provides ssrf, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Path Traversal', 'XSS', 'RCE', 'Deserialization', 'Header Injection', 'SQL Injection']",https://github.com/theori-io/ctf
litefuzz,local_repos/litefuzz,Yes,,"RCE, LFI","This repository provides rce, path traversal, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'SSRF']",https://github.com/sec-tools/litefuzz
win-powerup-exp-index,local_repos/win-powerup-exp-index,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI']",https://github.com/neargle/win-powerup-exp-index
my-ctf-challenges,local_repos/my-ctf-challenges,Yes,,RCE,"This repository provides rce, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'SSRF', 'XSS', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization']",https://github.com/zsxsoft/my-ctf-challenges
SecurityTools,local_repos/SecurityTools,No,,RCE,"This repository provides rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF']",https://github.com/doyler/SecurityTools
RAUDI,local_repos/RAUDI,Yes,,"RCE, XSS","This repository provides lfi/rfi, rce, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SSRF', 'Path Traversal']",https://github.com/cybersecsi/RAUDI
fingerprintjs_fingerprintjs,local_repos/fingerprintjs_fingerprintjs,No,,RCE,"This repository provides lfi/rfi, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SSRF', 'Path Traversal', 'SQL Injection']",https://github.com/fingerprintjs/fingerprintjs
elastdocker,local_repos/elastdocker,Yes,4,RCE,"This repository provides ssrf, lfi/rfi proof-of-concept with Docker deployment on port 4 demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI']",https://github.com/sherifabdlnaby/elastdocker
wikiraider,local_repos/wikiraider,No,,"RCE, RFI","This repository provides lfi/rfi, path traversal, ssrf proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF']",https://github.com/NorthwaveSecurity/wikiraider
streamyfin,local_repos/streamyfin,No,,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'Path Traversal']",https://github.com/streamyfin/streamyfin
MixewayHub,local_repos/MixewayHub,Yes,443,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 443 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE']",https://github.com/Mixeway/MixewayHub
PhoneAccountDetector,local_repos/PhoneAccountDetector,No,,RCE,Security research repository - PhoneAccountDetector,[],https://github.com/linuxct/PhoneAccountDetector
WMAL_Linux-Kodachi,local_repos/WMAL_Linux-Kodachi,No,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE', 'Path Traversal', 'XSS', 'SQL Injection']",https://github.com/WMAL/Linux-Kodachi
arcaneiceman_kraken,local_repos/arcaneiceman_kraken,Yes,3,RCE,"This repository provides ssrf, lfi/rfi, xss proof-of-concept with Docker deployment on port 3 demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'XSS', 'Path Traversal', 'Header Injection', 'RCE', 'SQL Injection']",https://github.com/arcaneiceman/kraken
mcpadapt,local_repos/mcpadapt,No,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Path Traversal', 'XSS']",https://github.com/grll/mcpadapt
Crawler_Illegal_Cases_In_China,local_repos/Crawler_Illegal_Cases_In_China,No,,RCE,"This repository provides sql injection, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI']",https://github.com/HiddenStrawberry/Crawler_Illegal_Cases_In_China
lengjibo_RedTeamTools,local_repos/lengjibo_RedTeamTools,Yes,,RCE,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection']",https://github.com/lengjibo/RedTeamTools
droopescan,local_repos/droopescan,Yes,,RCE,"This repository provides rce, ssrf, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SSRF', 'SQL Injection', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'XSS']",https://github.com/SamJoan/droopescan
AndroidHiddenApiBypass,local_repos/AndroidHiddenApiBypass,No,,RCE,This repository provides deserialization proof-of-concept demonstrating web-based attack vectors.,['Deserialization'],https://github.com/LSPosed/AndroidHiddenApiBypass
Raspberry_face_recognition_attendance_machine,local_repos/Raspberry_face_recognition_attendance_machine,No,,RCE,"This repository provides rce, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'LFI/RFI', 'Path Traversal']",https://github.com/luyishisi/Raspberry_face_recognition_attendance_machine
RamiGPT,local_repos/RamiGPT,Yes,8,"RCE, Privilege Escalation","This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'XSS', 'Header Injection', 'Deserialization', 'SSRF']",https://github.com/M507/RamiGPT
BurpSuite-Asset_Discover,local_repos/BurpSuite-Asset_Discover,No,,RCE,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/redhuntlabs/BurpSuite-Asset_Discover
nutzam_nutz,local_repos/nutzam_nutz,No,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'RCE', 'SQL Injection', 'Path Traversal', 'SSRF', 'Deserialization']",https://github.com/nutzam/nutz
zaidmukaddam_scira,local_repos/zaidmukaddam_scira,Yes,8,RCE,"This repository provides sql injection, ssrf proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['SQL Injection', 'SSRF']",https://github.com/zaidmukaddam/scira
Atlas,local_repos/Atlas,No,,RCE,"This repository provides sql injection, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/m4ll0k/Atlas
RockChinQ_LangBot,local_repos/RockChinQ_LangBot,Yes,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'XSS', 'Deserialization', 'SQL Injection']",https://github.com/RockChinQ/LangBot
F-NAScan-PLUS,local_repos/F-NAScan-PLUS,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS'],https://github.com/PINGXcpost/F-NAScan-PLUS
bartdag_pylinkvalidator,local_repos/bartdag_pylinkvalidator,No,,SQL Injection,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'Header Injection', 'SQL Injection', 'XSS']",https://github.com/bartdag/pylinkvalidator
LogonTracer,local_repos/LogonTracer,Yes,,RCE,"This repository provides deserialization, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Deserialization', 'RCE', 'LFI/RFI', 'XSS', 'SQL Injection']",https://github.com/JPCERTCC/LogonTracer
nmapvis,local_repos/nmapvis,Yes,,SQL Injection,"This repository provides ssrf, xss, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection']",https://github.com/snobear/nmapvis
hrida,local_repos/hrida,No,,RCE,This repository provides rce proof-of-concept demonstrating web-based attack vectors.,['RCE'],https://github.com/5alt/hrida
batfish,local_repos/batfish,No,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'RCE', 'SQL Injection', 'Header Injection', 'XSS', 'Deserialization']",https://github.com/batfish/batfish
RedTeamTools,local_repos/RedTeamTools,Yes,,RCE,"This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'SQL Injection', 'Header Injection']",https://github.com/lengjibo/RedTeamTools
H1ve,local_repos/H1ve,Yes,8000,RCE,"This repository provides rce, ssrf, lfi/rfi proof-of-concept with Docker deployment on port 8000 demonstrating web-based attack vectors.","['RCE', 'SSRF', 'LFI/RFI', 'Deserialization', 'XSS', 'SQL Injection', 'Path Traversal', 'Header Injection']",https://github.com/D0g3-Lab/H1ve
harbor-scanner-adapter,local_repos/harbor-scanner-adapter,Yes,,RCE,"This repository provides lfi/rfi, rce, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SSRF', 'Header Injection']",https://github.com/anchore/harbor-scanner-adapter
vortex,local_repos/vortex,Yes,8080,RCE,Security research repository - vortex,[],https://github.com/revoltchat/vortex
TTDeDroid,local_repos/TTDeDroid,No,,RCE,"This repository provides xss, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'SSRF', 'SQL Injection', 'LFI/RFI']",https://github.com/tp7309/TTDeDroid
creak,local_repos/creak,No,,RCE,"This repository provides lfi/rfi, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'RCE', 'SSRF']",https://github.com/codepr/creak
web-page-monitor,local_repos/web-page-monitor,Yes,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'SSRF']",https://github.com/lgh06/web-page-monitor
multiscanner,local_repos/multiscanner,Yes,9200,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment on port 9200 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'Header Injection', 'XSS', 'Deserialization']",https://github.com/mitre/multiscanner
brakeman,local_repos/brakeman,Yes,,RCE,"This repository provides sql injection, xss, deserialization proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'Deserialization', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF']",https://github.com/presidentbeef/brakeman
POC-bomber,local_repos/POC-bomber,No,,RCE,"This repository provides header injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'SSRF', 'SQL Injection', 'Path Traversal', 'LFI/RFI', 'XSS']",https://github.com/tr0uble-mAker/POC-bomber
Tp0t-Team_Tp0tOJ,local_repos/Tp0t-Team_Tp0tOJ,No,,"RCE, SQL Injection","This repository provides xss, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'Header Injection']",https://github.com/Tp0t-Team/Tp0tOJ
container-scan,local_repos/container-scan,No,,RCE,"This repository provides lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE']",https://github.com/Azure/container-scan
llamacoder,local_repos/llamacoder,No,,RCE,"This repository provides lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection']",https://github.com/Nutlope/llamacoder
kamranahmedse_developer-roadmap,local_repos/kamranahmedse_developer-roadmap,No,,RCE,"This repository provides lfi/rfi, header injection, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'Path Traversal', 'RCE', 'SSRF', 'SQL Injection', 'XSS', 'Deserialization']",https://github.com/kamranahmedse/developer-roadmap
weblogicPoc,local_repos/weblogicPoc,No,,RCE,This repository provides rce proof-of-concept demonstrating web-based attack vectors.,['RCE'],https://github.com/zzwlpx/weblogicPoc
CVEScannerV2DB,local_repos/CVEScannerV2DB,Yes,,"RCE, SQL Injection",Security research repository - CVEScannerV2DB,[],https://github.com/scmanjarrez/CVEScannerV2DB
JYso,local_repos/JYso,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'XSS', 'Deserialization', 'Header Injection']",https://github.com/qi4L/JYso
NinjaDroid,local_repos/NinjaDroid,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF']",https://github.com/rovellipaolo/NinjaDroid
docker-ipsec-vpn-server,local_repos/docker-ipsec-vpn-server,Yes,4500/udp,"RCE, RFI","This repository provides sql injection, lfi/rfi, rce proof-of-concept with Docker deployment on port 4500/udp demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'Path Traversal']",https://github.com/hwdsl2/docker-ipsec-vpn-server
XMCyber_XMCredentialsDecryptor,local_repos/XMCyber_XMCredentialsDecryptor,No,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/XMCyber/XMCredentialsDecryptor
olmocr,local_repos/olmocr,Yes,,Header Injection,"This repository provides rce, sql injection, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'XSS', 'SSRF', 'LFI/RFI', 'Path Traversal']",https://github.com/allenai/olmocr
Behold3r,local_repos/Behold3r,No,,RCE,"This repository provides rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF']",https://github.com/ph4ntonn/Behold3r
AShell,local_repos/AShell,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/alicfeng/AShell
pyWhat,local_repos/pyWhat,Yes,,SQL Injection,"This repository provides lfi/rfi, ssrf, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'SQL Injection']",https://github.com/bee-san/pyWhat
DataDog_security-labs-pocs,local_repos/DataDog_security-labs-pocs,Yes,,"RCE, Privilege Escalation","This repository provides lfi/rfi, ssrf, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Header Injection', 'RCE', 'Path Traversal', 'SQL Injection', 'XSS']",https://github.com/DataDog/security-labs-pocs
C0deVari4nt,local_repos/C0deVari4nt,No,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'XSS', 'SQL Injection', 'Deserialization']",https://github.com/whitesquirrell/C0deVari4nt
SomeTools,local_repos/SomeTools,No,,SQL Injection,"This repository provides sql injection, path traversal, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Path Traversal', 'Header Injection', 'SSRF']",https://github.com/ggg4566/SomeTools
sgn,local_repos/sgn,Yes,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE']",https://github.com/EgeBalci/sgn
ragflow,local_repos/ragflow,Yes,,"RCE, RFI","This repository provides ssrf, rce, deserialization proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'Deserialization', 'LFI/RFI', 'SQL Injection', 'XSS', 'Header Injection', 'Path Traversal']",https://github.com/infiniflow/ragflow
tech-interview-handbook,local_repos/tech-interview-handbook,No,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']",https://github.com/yangshun/tech-interview-handbook
sharesearch,local_repos/sharesearch,No,,RCE,"This repository provides sql injection, xss, path traversal proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'Path Traversal']",https://github.com/nikallass/sharesearch
xray-weblisten-ui,local_repos/xray-weblisten-ui,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'SSRF']",https://github.com/virink/xray-weblisten-ui
Argus-SAF,local_repos/Argus-SAF,No,,RCE,"This repository provides rce, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SQL Injection', 'Header Injection', 'XSS', 'Path Traversal']",https://github.com/arguslab/Argus-SAF
burpproxypacextension,local_repos/burpproxypacextension,No,,RCE,"This repository provides sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'XSS']",https://github.com/vincd/burpproxypacextension
AUPK,local_repos/AUPK,No,,RCE,"This repository provides rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI']",https://github.com/FeJQ/AUPK
LBot,local_repos/LBot,No,,"RCE, XSS","This repository provides ssrf, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'Header Injection', 'XSS']",https://github.com/knownsec/LBot
zmirror,local_repos/zmirror,No,,RCE,"This repository provides sql injection, ssrf, xss proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'XSS', 'LFI/RFI', 'Deserialization', 'Header Injection', 'Path Traversal', 'RCE']",https://github.com/aploium/zmirror
blockstack,local_repos/blockstack,Yes,6270,RCE,"This repository provides rce, ssrf proof-of-concept with Docker deployment on port 6270 demonstrating web-based attack vectors.","['RCE', 'SSRF']",https://github.com/tklx/blockstack
CVE-2022-28346,local_repos/CVE-2022-28346,No,,SQL Injection,This repository provides sql injection proof-of-concept demonstrating web-based attack vectors.,['SQL Injection'],https://github.com/DeEpinGh0st/CVE-2022-28346
kivy_python-for-android,local_repos/kivy_python-for-android,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'SQL Injection', 'Header Injection']",https://github.com/kivy/python-for-android
evil-ssdp,local_repos/evil-ssdp,No,,"RCE, Header Injection","This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal']",https://github.com/initstring/evil-ssdp
OSTrICa,local_repos/OSTrICa,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Header Injection', 'RCE', 'Path Traversal', 'SSRF']",https://github.com/Ptr32Void/OSTrICa
opencve,local_repos/opencve,Yes,,RCE,"This repository provides lfi/rfi, sql injection, rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'RCE', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection']",https://github.com/opencve/opencve
Hades,local_repos/Hades,Yes,8088,"RCE, SQL Injection","This repository provides rce, sql injection, ssrf proof-of-concept with Docker deployment on port 8088 demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'SSRF', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'XSS']",https://github.com/zsdlove/Hades
hopper-plugins,local_repos/hopper-plugins,No,,RFI,This repository provides lfi/rfi proof-of-concept demonstrating web-based attack vectors.,['LFI/RFI'],https://github.com/agatti/hopper-plugins
witsy,local_repos/witsy,No,,SQL Injection,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'SSRF', 'Header Injection', 'Path Traversal']",https://github.com/nbonamy/witsy
googleprojectzero_domato,local_repos/googleprojectzero_domato,No,,RCE,"This repository provides lfi/rfi, xss, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'RCE', 'SSRF']",https://github.com/googleprojectzero/domato
f3liiix_nav-site,local_repos/f3liiix_nav-site,Yes,6379,RCE,"This repository provides rce, ssrf proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['RCE', 'SSRF']",https://github.com/f3liiix/nav-site
Linux-Kodachi,local_repos/Linux-Kodachi,No,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE', 'Path Traversal', 'XSS', 'SQL Injection']",https://github.com/WMAL/Linux-Kodachi
pocGoby2Xray,local_repos/pocGoby2Xray,No,,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'XSS', 'SQL Injection', 'Header Injection']",https://github.com/hanc00l/pocGoby2Xray
AoiAWD,local_repos/AoiAWD,Yes,27017,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 27017 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Header Injection', 'SSRF', 'XSS']",https://github.com/DasSecurity-HatLab/AoiAWD
mastra,local_repos/mastra,Yes,,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'Path Traversal', 'SSRF', 'RCE', 'SQL Injection', 'Deserialization']",https://github.com/mastra-ai/mastra
ReDoSHunter,local_repos/ReDoSHunter,No,,RCE,"This repository provides lfi/rfi, rce, deserialization proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Deserialization', 'XSS', 'Path Traversal', 'SQL Injection']",https://github.com/yetingli/ReDoSHunter
BurpSuiteHTTPSmuggler,local_repos/BurpSuiteHTTPSmuggler,No,,XSS,"This repository provides lfi/rfi, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'XSS']",https://github.com/nccgroup/BurpSuiteHTTPSmuggler
darkflare,local_repos/darkflare,No,,"RCE, Auth Bypass","This repository provides header injection, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'SQL Injection', 'RCE']",https://github.com/doxx/darkflare
XLsn0w_Cydiapps,local_repos/XLsn0w_Cydiapps,No,,"RCE, LFI","This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'SSRF']",https://github.com/XLsn0w/Cydiapps
SNIcat,local_repos/SNIcat,No,,RCE,"This repository provides lfi/rfi, rce, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SQL Injection']",https://github.com/mnemonic-no/SNIcat
deepchat,local_repos/deepchat,No,,RCE,"This repository provides rce, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'XSS', 'Path Traversal', 'SQL Injection', 'Header Injection', 'SSRF']",https://github.com/ThinkInAIXYZ/deepchat
TEN-framework_TEN-Agent,local_repos/TEN-framework_TEN-Agent,Yes,,"RCE, RFI","This repository provides ssrf, rce, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'SQL Injection', 'LFI/RFI', 'Path Traversal', 'Header Injection']",https://github.com/TEN-framework/TEN-Agent
